اَنوشا 	جاویدانبرگشت به لیست
نخستین 	آغازین، اولین
نرسا 	 در اساطیر زوروانیه نام یکی از خدایان
نرگس 	نام گلی زیبا
نساک 	نام همسر سیامک پسر کیومرث پادشاه پیشدادی
نسترن 	گلی شبیه رز به رنگهای صورتی، سفید و زرد
نسیم 	باد بسیار آرام و دلپذیر
نعیما 	پر نعمت ، برخوردار
نغمه 	آهنگ یا ملودی
نکوزاد 	زاده نیکویی
نکویار 	یار نیکو
نکیسا	نام یکی از رامشگران و نوازندگان عهد خسرو پرویز
نگار 	چهره زیبا
نگارا 	بانوی زیبا، دختر خوش چهره، کنایه از محبوب است.
نگاره 	 نقش، شکل، تصویر
نگارین 	 زیبا، آراسته، مزین
نگین 	جواهر انگشتری
نگینا 	موسیقی، آواز
نگینه 	 مانند نگین
نو بهار	بهار ، فصل رویش
نوا 	صدای موسیقی ، نغمه
نوال 	عطا، بخشش، بهره، نصیب
نورا 	نور (عربی) + ا (فارسی)، مؤنث انور درخشان، تابان
نورسته 	جوانه تازه
نوژان 	درخت صنوبر و کاج
نوشاد 	نام شهری که زیبا رویان آن مشهور بودند
نوشین 	شیرین، خوشایند، دلپذیر، گوارا، خوش گوار
نوگل 	گلی که تازه شکفته شده است
نونهال 	نهال تازه، درخت جوان
نها 	عقل و خرد (اسم قرآنی)
نهال	درخت یا درختچه نورس
نیایش	دعای همراه با تضرع و زاری
نیروانا 	آخرین مرحله سلوک در نزد “بودا” که مرحله محو شدن جنبه حیوانی وجود و رسیدن به کمال است.
نیکا 	چه خوب است، خوشا، نام رودی در شمال ایران
نیکتا 	خوب، نیکو ریشه
نیکچهره 	او که دارای چهره‌ای نیکوست
نیکدخت 	دختر نیک و شایسته
نیکرخ 	نیک رو
نیکروی 	خوش صورت
نیکناز	دارای عشوه گری و زیبایی
نیکو 	خوب، زیبا
نیکی 	 خوب بودن، خوبی، نیکوکاری، احسان
نیلا 	 نیل به رنگ نیل، نیلی
نیلاب 	 مجازا آبی ملایم و آرامش بخش. نام قدیم شهر جندی شاپور
نیلای	ماه نیلگون
نیلرام 	 اسم فرشته نگهبان برف و باران و تگرگ
نیلگون 	به رنگ نیل، کبود، لاجوردی
نیلوفر 	نام گلی است
نیلیا 	 به زنگ نیلی ، منسوب به نیلی ، مرکب از نیلی و الف نسبت
نینا 	زیبایی، خوش اندامی و ظرافت
نیوشا 	شنونده، یادگیرنده

وَرد 	گل سرخبرگشت به لیست
وِستا 	دانش، کتاب مقدس زردشتیان
واپسین 	آخرین، بازپسین
واج 	زمزمه
واحده 	 مؤنث واحد، یگانه
وادی 	 سرزمین، رود
وارتوش 	 نام گلی سرخ و ظریف
وارسته 	آزاد
واژه 	کلمه، لغت
واله	عاشق ، بیقرار شیفته
واله 	 عاشق بی قرار، شیفته و مفتون
والیه 	 مؤنث والی نام دختر
وانوش 	 دریاچه وان، از سمبل و نمادهای تاریخ ارامنه
وانوشه	نام گل
وانیا 	هدیه با شکوه خداوند
وانیار 	 با سواد
وجیهه 	 زیبا، خوش چهره، هم چنین به معنای دارای قدر و منزلت نزد مردم
وچان 	 زمان استراحت کوتاه
وحدانه 	 یکی یکدانه
وحیده 	 مؤنث وحید، یکتا، تک، بی نظیر، یگانه
ورتا	نامی پهلوی به معنی گل
ورتاج 	 گلی سرخ رنگ که همیشه روی به آفتاب دارد.
ورجا 	 بلندمرتبه، ارجمند
وردآفرید 	 آفریده گل
وردآور 	 مرکب از ورد (گل) + آور(آورنده)
وردی 	 کوچک، ریز‏نقش
ورشان 	 قمری، پرنده‌ای که در فارسی آن را مرغ الاهی می‌گویند، کبوتر صحرایی
ورقا 	 کبوتر، نام درختی کوچک و معروف
ورونیکا 	نام تیره ای از گیاهان که پوپک از آن دسته است.
ورهرام 	 بهرام، نام ستاره مریخ، نام روز بیستم از هر ماه شمسی در ایران قدیم،
وریشه 	 درخشش، برق
وستا	پردانش – دختر پاکدامن و با اصل و نسب
وسمه 	 ماده رنگی ای که از نوعی گیاه به دست می‌آید.
وسیم 	 دارای نشان زیبایی، خوش سیما، زیبا
وسیمه 	 مؤنث وسیم، دارای نشان زیبایی، زیبا
وش 	 خواستن
وشان 	 افشان، کاشتن، تکان شدید
وشن 	 خوب است.
وفا	وفاداری
ولان 	 مکانی که گل زرد بسیار داشته باشد.
وناز 	 با وقار، متین
وندا	ستایش کننده
وندا 	 زن و دختر باسواد
ونوس 	سمبل زیبایی و عشق در یونان باستان
ونوشه 	 در گویش مازندران گل بنفشه
وه آفرید 	 (وه = خوب)آفریده خوب
وه آفرین 	 آفریننده خوب یا آفریننده خوبی
وه نوش 	 بهنوش، مرکب از به (بهتر یا خوب) + نوش (عسل)
وهان 	 جمع خوبان، بهان (وه = خوب)
وهرو 	 خوبروی
وهشتیه 	نام شهبانوی خشایار شاه
وهوگون 	خوشبو، معطر، خوشرنگ
ویان 	 دلربا، علاقه، محبت، عشق
ویانا 	فرزانگی، بخردی، دانایی
ویدا 	آشکار و هویدا
ویرا	ویشکا- ویدا – ویستا
ویرو 	 نامپهلوان و سپهداری در منظومه ویس و رامین
ویس	معشوقه رامین در دوره شاهنشاهی اشکانیان
ویستا 	دانش و فرهنگ، برخوردار
ویشکا 	نام روستایی نزدیک رشت
ویکتوریا 	پیروز شدن، الهه پیروزی در روم باستان
وینا 	 رنگارنگ، همچنین روشن و آشکار
ویوگ 	 عروس
ویونا 	 منسوب به وَیو، (به مجاز) عروس، دختری که عروس شده، نام روستایی در نزدیکی کاشان

هُووی 	نام زن اشوزرتشت, دختر فرشوشتربرگشت به لیست
هاجر 	 معرب از عبری؛ به معنی مهاجرت کننده، فرارکننده. هم چنین اسم مادر اسماعیل و همسر حضرت ابراهیم (ع)
هارا 	 کوهستان
هاله 	 معرب از یونانی به معنای حلقه نورانی سفید یا رنگی که گاه دور ماه یا خورشید دیده می‌شود.
هانا	داد خواهی ، امید ،بینایی
هانه 	 چشمه
هانیا 	 مؤنث هانی، مادر مهربان و دلسوز
هانیه	شادمان خوش بخت
هایده 	 توبه کننده، به حق بازگردنده
هدا 	 هدی، هدایت کردن، هدایت، راهنمایی، راه درست و مسیر درست
هدسه 	 همسر یهودی خشایار شاه که بعداً استر نام گرفت، محل دفن او و داییش (مردخای) جزء آثار باستانی همدان است.
هدی	هدایت شده
هدی 	 هدایت کردن، راهنمایی، هدایت، راه درست، مسیر درست
هدیه	تحفه ای که به نشانه محبت به کسی داده می شود
هدیه 	 ارمغان، تحفه
هرانوش 	 دختر آتش، دختری با روی برافروخته، کنایه از دختر زیبا روی
هستنوه 	 قیام توده مردم
هستی 	زندگی، وجود، زندگانی
هفدن 	 وزن شعر
هفیان 	 آرام گرفتن
هگبه 	 ره آورد، هدیه سفر، خورجین
هلاله 	 گلی زرد رنگ خوشبو، آلاله، جارزدن، با خبر ساختن
هلپرین 	 رقصیدن
هلما 	 معنی اسم را در این قسمت بنویسید خیلی صبور
هلن 	فرانسه از یونانی روشنایی، نور، در اساطیر یونان همسر منلاس پادشاه اسپارت که جنگ تروا به خاطر او روی داد.
هلناز	زیبا و خوش بو
هلناز 	 زیبارو و خوشبو، به شکوفه درخت هل نیز می‌گویند
هلنسا 	زنان معطر
هلیا 	خورشید
هلیله 	نام درختی است
هلینا 	 هلن، فرانسه از یونانی روشنایی، نور، در اساطیر یونان همسر منلاس پادشاه اسپارت که جنگ تروا به خاطر او روی داد.
هلیون 	 هلیوس، خورشید
هما 	مرغ خوش پرواز و مایه سلامت، از شخصیت‌های شاهنامه
هماچهر 	آنکه چهره‌ای چون هما دارد، خوش سیما
همافر 	دارای شکوه همایی
همایون 	فرخ، شادان
همتا	همانند
همتا 	 نظیر، مانند
همدم 	 همنشین
همراز 	محرم اسرار
همساز 	از نام های برگزیده
همگام 	همراه، همسفر
هموند 	 اعضاء
همیلا	نام یکی از ندیمه های شیرین در خسرو و شیرین نظامی
همیلا 	 نام ندیمه شیرین همسر خسروپرویز پادشاه ساسانی
هنا 	شادمانی و خوش بختی
هنار 	 انار
هناو 	 زهره، شجاعت
هنگامه 	 فوق العاده، شگفت انگیز، عالی، فتنه، آشوب
هنیا 	 به فتح ه، گوارا باد، نوش باد
هوآفرید 	خوش ستوده، خوش آمرزیده
هوبخت 	 خوشبخت
هوپاد 	 (اسم دختر و پسر) نگهبان خوب، نیک سرشت
هوتس 	 (به ضم ت) آتوسا، نام دختر کوروش پادشاه هخامنشی، همسر داریوش و مادر خشایارشا
هوتوس 	 آتوسا،نام دخترکوروش پادشاه هخامنشی، همسر داریوش و مادر خشایارشا
هوداد 	از نام های برگزیده
هوده 	 راست، درست
هور 	 خور، خورشید، از شخصیتهای شاهنامه، نام دانایی پرهیزکار در زمان بهرام گور پادشاه ساسانی
هورام 	پیرو خوبی، انسان شاد و خنده رو، هنگام طلوع آفتاب،‌ مرتفع
هوران 	آفتاب
هورآفرین 	 آفریننده خورشید
هوربانو 	 زیبا همچون خورشید
هورتاش 	 هور (فارسی) + تاش (ترکی) آنکه چون خورشید نورانی است.
هورتن 	 آن که تن و بدنی پاک و درخشان چون خورشید دارد.
هورچهر 	 آن که چهره و سیمایی درخشان و نورانی چون خورشید دارد.
هورخش 	 آفتاب عالمتاب
هورداد 	 داده‌ی خورشید، تابنده و پر حرارت
هوردخت 	 دختری زیبا چون خورشید
هوردیس 	 زیبا و روشن چون خورشید
هوررخ 	 هورچهر
هورزاد 	 زاده خورشید، خوب زاده، اصیل، شریف
هورسان 	مانند خورشید
هورشاد 	 مرکب از هور (خورشید) + شاد
هورشید 	 خورشید، آفتاب
هورفَر 	دارای فر و شکوه مانند خورشید
هورمهر 	مهربان همانند خورشید
هورناز 	خورشید زیبا
هوروَش 	 زیبا و تابناک همچون خورشید
هوروش 	 درخشان و زیبا چون خورشید
هوری 	 نور خورشید
هوزاد 	خوب زاده، اصیل
هوزان 	نرگس نوشکفته و نیک دان
هوژان 	 یاد گرفتن
هوژین 	 آموختن
هوشبام 	سپیده دم
هوفر 	نام خواهر یوئشتا
هوگون 	خوب گون، خوش رنگ، ممتاز
هوما 	 مرغ سعادت، فرخنده
هومان 	 خودمان
هومهر 	 دوست، یار
هوناز 	 ویژگی آن ‌که دارای ناز و کرشمه خوب و نیک است، جذاب و دلپسند
هونراوه 	 کنایه از کلام منظوم
هونیا 	دارای نیای خوب
هووَرشت 	نیکوکار
هویار 	 یار خوب و خوش
هیدیکا 	 آرام، به آهستگی، یواش
هیران 	 قرار
هیزان 	 نیرومند، توانا
هیژان 	 ارزیدن، جنبیدن
هیلا	پرنده ای کوچکتر از باز
هیلا 	 پرنده‌ای شکاری کوچکتر از باز را گویند.
هیلان 	 آشیانه، مکان آرامش
هیلدا 	نیرومند، قوی
هیما 	 بانوی عاشق
هیمو 	 پاک دامن
هینا 	 ماهر
هینان 	 آوردن
هیوان 	 ایوان، تراس

یَسنا 	پرستش، از بخش‌های اوستابرگشت به لیست
یارگل 	 دوستی که همانند گل زیباست.
یارناز 	 دوست زیبا
یارنوش 	 دوست و یاری که چون عسل شیرین و دلنشین است.
یاس 	 گلی زینتی با رنگهای سفید، زرد، سرخ و بنفش و بسیار خوشبو، گل منسوب به حضرت زهرا (س)
یاس رخ 	آنکه چهره ای چون گل یاس دارد
یاس گل 	آنکه مانند گل یاس خوش چهره و زیباست
یاسمن 	 گلی زینتی با گل‌های درشت و معطر، به رنگهای سفید، صورتی، زرد و قرمز
یاسمین	پهلوی یاسمن – نوعی گل- دختری در ویس و رامین
یاسمین 	گل یاسمن
یاسمینا 	یاس و مینا گلی به رنگهای سفید، زرد و کبود
یاشیل 	 سبز کبود، سبز چمنی، کبود
یافا 	زیبایی، جمال، نام شهری قدیمی در ساحل مدیترانه
یامین 	لقب راحیل ، همسر حضرت یعقوب (مادر بنیامین و یوسف)
یانا	نیکی رسان ، نیکویی بخش
یرحا 	 نام مادر حضرت موسی (ع)
یسری	راحتی، آسانی، گشایش، دختر خوش قدم (یسرا)
یسنا 	پرستش، بخشی از اوستا
یغما 	 غارت، تاراج، غنیمت، نام شهری در ترکستان که مردمان زیباروی و صاحب جمال دارد.
یغماناز 	 از ترکیب یغما (ترکی) + ناز (فارسی) یغما، نام دخترپادشاه چین و همسر بهرام گور پادشاه ساسانی
یکتا 	 یگانه، بینظیر، تنها
یکمال 	 ثروت تقسیم نشده، دوست جان‏جانی (بسیار صمیمی)
یکیتی 	 اتحاد، همبستگی
یگانه 	 صمیمی، همدل، یکرنگ، بی همتا، بی نظیر، تنها و منحصر به فرد
یلدا 	 آخرین شب پائیز در نیم کره شمالی و بلندترین شب سال که همزمان با میلاد مسیح (ع) است.
یلدوز 	 اولدوز، ستاره
یوتاب 	 نام خواهر آریوبرزن پادشاه آذربادگان
یوکابد 	جلال خداوند، خداوند مجد و بزرگی است، نام مادر موسی (ع)
